DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2020,ES,522,ES43,1,461,2,1001.04960,1,3,1
2020,ES,523,ES43,1,461,2,940.02988,1,3,1
2020,ES,524,ES43,1,461,2,940.02988,1,3,1
2020,ES,525,ES43,1,461,2,361.69039,1,3,1
2020,ES,526,ES43,1,462,2,434.79258,1,3,1
2020,ES,527,ES43,1,462,2,152.59208,1,3,1
2020,ES,529,ES43,1,462,2,2411.81321,1,3,1
2020,ES,530,ES43,1,462,2,809.40901,1,3,1
2020,ES,531,ES43,1,462,2,1025.96808,1,3,1
2020,ES,532,ES43,1,462,2,800.79390,1,3,1
2020,ES,533,ES61,1,468,2,2012.54806,1,3,1
2020,ES,534,ES61,1,468,2,4746.76382,1,3,1
2020,ES,535,ES61,1,468,2,5130.14418,1,3,1
2020,ES,536,ES61,1,468,2,3153.64721,1,3,1
2020,ES,540,ES61,1,468,2,4784.05128,1,3,1
2020,ES,542,ES61,1,469,2,7837.31176,1,1,1
2020,ES,543,ES61,1,469,2,2339.32861,1,1,1
2020,ES,545,ES61,1,469,2,1788.99273,1,1,1
2020,ES,546,ES61,1,471,2,7858.06111,1,1,1
2020,ES,547,ES61,1,471,2,1444.40979,1,1,1
2020,ES,548,ES61,1,471,2,2512.60877,1,1,1
2020,ES,549,ES61,1,471,2,3277.37860,1,1,1
2020,ES,550,ES61,1,471,2,3674.62816,1,1,1
2020,ES,551,ES61,1,471,2,2718.44030,1,1,1
2020,ES,552,ES61,1,476,2,12163.37654,1,2,1
2020,ES,554,ES61,1,479,2,4659.39076,1,1,1
2020,ES,555,ES61,1,479,2,2461.52044,1,1,1
2020,ES,556,ES61,1,479,2,6996.17097,1,1,1
2020,ES,558,ES61,1,479,2,3001.25048,1,1,1
2020,ES,562,ES61,1,479,2,7737.63579,1,1,1
2020,ES,563,ES61,1,479,2,10951.42079,1,1,1
2020,ES,564,ES61,1,484,2,12115.25207,1,3,1
2020,ES,572,ES61,1,489,2,5832.85274,1,2,1
2020,ES,573,ES61,1,489,2,5931.72034,1,2,1
2020,ES,574,ES61,1,489,2,4410.36164,1,2,1
2020,ES,575,ES61,1,489,2,5994.58308,1,2,1
2020,ES,576,ES61,1,490,2,2673.53484,1,2,1
2020,ES,585,ES61,1,495,2,4965.92323,1,2,1
2020,ES,587,ES61,1,495,2,1009.33894,1,2,1
2020,ES,590,ES52,1,500,2,1934.27423,1,2,1
2020,ES,594,ES52,1,504,2,3162.99778,1,1,1
2020,ES,595,ES52,1,504,2,5954.93024,1,1,1
2020,ES,596,ES52,1,504,2,1025.06486,1,1,1
2020,ES,597,ES52,1,504,2,1959.40334,1,1,1
2020,ES,598,ES52,1,504,2,1887.03043,1,1,1
2020,ES,599,ES52,1,504,2,3921.72133,1,1,1
2020,ES,600,ES52,1,504,2,1637.96913,1,1,1
2020,ES,601,ES52,1,504,2,1731.23146,1,1,1
2020,ES,602,ES52,1,512,2,3041.53454,1,2,1
2020,ES,606,ES42,1,526,2,763.37555,1,3,1
2020,ES,607,ES42,1,526,2,1094.21670,1,3,1
2020,ES,608,ES42,1,526,2,1049.34328,1,3,1
2020,ES,609,ES42,1,526,2,3390.19730,1,3,1
2020,ES,610,ES42,1,526,2,1941.93429,1,3,1
2020,ES,611,ES42,1,526,2,1152.20746,1,3,1
2020,ES,619,ES42,1,532,2,1034.01496,1,3,1
2020,ES,620,ES42,1,532,2,929.84107,1,3,1
2020,ES,621,ES42,1,532,2,2490.49853,1,3,1
2020,ES,623,ES42,1,532,2,784.37798,1,3,1
2020,ES,624,ES42,1,532,2,1215.90650,1,3,1
2020,ES,625,ES42,1,535,2,1724.56030,1,3,1
2020,ES,626,ES42,1,535,2,2124.95762,1,3,1
2020,ES,627,ES42,1,535,2,1352.49217,1,3,1
2020,ES,628,ES42,1,538,2,1005.19419,1,3,1
2020,ES,629,ES42,1,538,2,1371.49597,1,3,1
2020,ES,633,ES42,1,538,2,2103.89926,1,3,1
2020,ES,634,ES61,1,542,2,5086.51509,1,3,1
2020,ES,636,ES61,1,542,2,2602.28138,1,3,1
2020,ES,637,ES61,1,542,2,2777.44115,1,3,1
2020,ES,638,ES61,1,542,2,4111.71645,1,3,1
2020,ES,639,ES61,1,544,2,4756.23217,1,1,1
2020,ES,640,ES61,1,544,2,5796.80704,1,1,1
2020,ES,641,ES61,1,544,2,3157.19854,1,1,1
2020,ES,642,ES61,1,544,2,2165.78085,1,1,1
2020,ES,643,ES61,1,544,2,3491.95212,1,1,1
2020,ES,645,ES61,1,544,2,2718.44030,1,1,1
2020,ES,647,ES61,1,545,2,1876.62384,1,1,1
2020,ES,648,ES61,1,545,2,3282.09922,1,1,1
2020,ES,649,ES61,1,549,2,7660.62863,1,1,1
2020,ES,651,ES61,1,549,2,3587.74433,1,1,1
2020,ES,652,ES61,1,554,2,2995.63946,1,3,1
2020,ES,654,ES61,1,554,2,6487.97471,1,3,1
2020,ES,656,ES61,1,558,2,2843.05505,1,2,1
2020,ES,657,ES61,1,558,2,4390.80819,1,2,1
2020,ES,659,ES61,1,558,2,5522.68446,1,2,1
2020,ES,662,ES11,1,566,2,4251.96411,1,3,1
2020,ES,663,ES11,1,568,2,864.53183,1,2,1
2020,ES,664,ES11,1,568,2,3862.65886,1,2,1
2020,ES,666,ES11,1,568,2,1509.34011,1,2,1
2020,ES,667,ES11,1,568,2,3354.36019,1,2,1
2020,ES,668,ES11,1,568,2,2790.30535,1,2,1
2020,ES,669,ES11,1,568,2,2314.93839,1,2,1
2020,ES,670,ES11,1,569,2,1916.40894,1,3,1
2020,ES,671,ES11,1,569,2,3171.99660,1,3,1
2020,ES,672,ES11,1,569,2,1327.10186,1,3,1
2020,ES,674,ES11,1,569,2,1682.49300,1,3,1
2020,ES,675,ES11,1,575,2,1706.89684,1,1,1
2020,ES,677,ES11,1,575,2,3699.57558,1,1,1
2020,ES,678,ES11,1,575,2,3566.39713,1,1,1
2020,ES,679,ES11,1,575,2,5627.98139,1,1,1
2020,ES,681,ES11,1,575,2,1182.71676,1,1,1
2020,ES,682,ES11,1,583,2,2904.72475,1,1,1
2020,ES,683,ES11,1,583,2,546.27557,1,1,1
2020,ES,684,ES11,1,583,2,2772.44562,1,1,1
2020,ES,687,ES11,1,584,2,7839.16245,1,1,1
2020,ES,689,ES11,1,584,2,1740.59982,1,1,1
2020,ES,690,ES11,1,592,2,455.56121,1,1,1
